aline1,aline2,aline3,aline4,post_code,asset_type
Tryon Crescent (3-9 Odd) DELETE? Tryon Crescent,Hackney,London,"",E9 7RY,Block
FLAT 18 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
2 April Street,Hackney,London,"",E8 2EF,Block
33-62 Parkside Estate  Parkside Estate,Rutland Road,Hackney,London,E9 7JY,LowRiseBlock
117-122 Parkside Estate  Parkside Estate,Rutland Road,Hackney,London,E9 7LA,WalkUpBlock
38-58 EVEN Shrubland Road,Hackney,London,"",E8 4NN,WalkUpBlock
1-9 Odd Tresham Walk Plus 1-10 College Close  College Close,Hackney,London,"",E9 6ER,WalkUpBlock
114 Shakspeare Walk,Hackney,London,"",N16 8TA,WalkUpBlock
1-10 Stuart House  Queen Anne Road,Hackney,London,"",E9 7AJ,WalkUpBlock
FLAT 10 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
1-16 Marlowe House  Milton Gardens Estate,Hackney,London,"",N16 8TW,WalkUpBlock
29-42 Nelson Mandela House 124 Cazenove Road,Hackney,London,"",N16 6AJ,LowRiseBlock
154 Lansdowne Drive,Hackney,London,"",E8 4NF,WalkUpBlock
13-24 Priestley Close,Hackney,London,"",N16 6SJ,WalkUpBlock
1-6 Waterloo Close Plus 2-24 Even Tresham Walk  Tresham Walk,Hackney,London,"",E9 6EN,WalkUpBlock
157 Evering Road,Hackney,London,"",N16 7BL,WalkUpBlock
13-20 Queen Elizabeths Close,Hackney,London,"",N16 0HL,WalkUpBlock
20 Lingwood Road,Hackney,London,"",E5 9BN,WalkUpBlock
Wintergreen Court  1-39 Bridge House Estate  Homerton High Street,Hackney,LONDON,"",E9 6FU,HighRiseBlock
1-16 Tower Court DELETE? Clapton Common,Hackney,London,"",E5 9AJ,WalkUpBlock
1-4 Azalea Court  Alexandra Mews,Hackney,London,"",N4 2LB,MediumRiseBlock
1-60 Bridge House  Shepherds Lane,Hackney,London,"",E9 6JL,LowRiseBlock
7-21 Knights Close,Hackney,London,"",E9 6EW,WalkUpBlock
1-6 Alford Court  Shepherdess Walk,Hackney,London,"",N1 7JW,WalkUpBlock
26-36 EVEN Whiston Road,Hackney,LONDON,"",E2 8BW,WalkUpBlock
41 Forburg Road,Hackney,London,"",N16 6HP,WalkUpBlock
333 Amhurst Road,Hackney,London,"",N16 7UX,WalkUpBlock
1-10 Sheridan House  Hawksley Road,Hackney,London,"",N16 0TB,WalkUpBlock
150-188 Fawcett Estate  Fawcett Estate,Clapton Common,Hackney,London,E5 9DQ,WalkUpBlock
Wilton Way (39-43 Odd) DELETE? Wilton Way,Hackney,London,"",E8 3ED,Block
1-16 Ray House  Colville Estate,Hackney,London,"",N1 5NL,WalkUpBlock
18 Holcroft Road,Hackney,London,"",E9 7BA,Block
1-14 Nelson Mandela House 124 Cazenove Road,Hackney,London,"",N16 6AJ,LowRiseBlock
11-14 Stephan Close,Hackney,London,"",E8 4LJ,WalkUpBlock
25-33 Halidon Close,Hackney,London,"",E9 6EE,WalkUpBlock
10 Bodney Road,Hackney,London,"",E8 1AY,WalkUpBlock
Godwin Close (1-7 Odd) DELETE? Godwin Close,Hackney,London,"",N1 7HY,Block
FLAT 38 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
Victorian Grove (113-123 Odd) DELETE? Victorian Grove,Hackney,London,"",N16 8EY,Block
57-80 Buxton Court  Thoresby Street,Hackney,London,"",N1 7TL,LowRiseBlock
1-16 Weymouth Court Plus Shops 94-106 Weymouth Terrace  Weymouth Terrace,Hackney,LONDON,"",E2 8LT,Block
9-16 Sycamore House  Lordship Grove,Hackney,London,"",N16 0QD,WalkUpBlock
12-22 Church Crescent,Hackney,London,"",E9 7DH,WalkUpBlock
1-6 Hartopp Court 44 Nevill Road,Hackney,London,"",N16 8SS,WalkUpBlock
76 Amhurst Park,Hackney,London,"",N16 5AR,WalkUpBlock
71-106 Fields Estate  Fields Estate,Lansdowne Drive,Hackney,London,E8 4LS,WalkUpBlock
25-47 ODD *Demolished* Springpark Drive,Hackney,London,"",N4 2NR,WalkUpBlock
9-12 Johnson Close,Hackney,London,"",E8 4PJ,Block
63-86 Parkside Estate  Parkside Estate,Rutland Road,Hackney,London,E9 7JY,WalkUpBlock
43-48 Mayfield Close,Hackney,London,"",E8 3DB,WalkUpBlock
13-21 Templeton Close,Hackney,London,"",N16 8UY,WalkUpBlock
60A - 60E Ashenden Road,Hackney,LONDON,"",E5 0DT,WalkUpBlock
77 Benthal Road,Hackney,London,"",N16 7AP,WalkUpBlock
1-30 Weardale House  Woodberry Down Estate,Hackney,London,"",N4 1QN,LowRiseBlock
13-19 ODD Aitken Close,Hackney,London,"",E8 4SQ,Block
2 Bayston Road,Hackney,London,"",N16 7LT,WalkUpBlock
1-80 Needwood House *Demolished* Needwood House,Woodberry Down Estate,Hackney,London,N4 2TL,HighRiseBlock
256-266 EVEN *DELETE* Amhurst Road,Hackney,London,"",N16 7UP,WalkUpBlock
95 Mildenhall Road,Hackney,London,"",E5 0RY,WalkUpBlock
Meeson Street (13.19.41) DELETE? Meeson Street,Hackney,LONDON,"",E5 0EA,Block
152 Lansdowne Drive,Hackney,London,"",E8 4NF,WalkUpBlock
1-27 Crofts House  Teale Street,Hackney,LONDON,"",E2 8RB,WalkUpBlock
12 Benthal Road,Hackney,London,"",N16 7BX,WalkUpBlock
Burnett Close (1-18) DELETE? Burnett Close,Hackney,London,"",E9 6ET,Block
1-16 Thorndale House  Manor Road,Hackney,London,"",N16 5NN,WalkUpBlock
25-61 Odd Shannon Court  Dynevor Road,Hackney,London,"",N16 0DB,WalkUpBlock
1-6 Bransby Court 40 Nevill Road,Hackney,LONDON,"",N16 8SG,WalkUpBlock
Holly Street (54-60 Even) DELETE? Holly Street,Hackney,London,"",E8 3HS,Block
139-161 ODD Wick Road,Hackney,London,"",E9 5AE,WalkUpBlock
Sandon Court 1-30 Plus 14 & 16 Casbeard Street 261 Green Lanes,Hackney,London,"",N4 2UX,Block
126 Brooke Road,Hackney,London,"",N16 7RS,WalkUpBlock
1-44 Harwood Court *Demolished*  Colville Estate,Hackney,London,"",N1 5NF,HighRiseBlock
1-12 Parkinson House  Frampton Park Road,Hackney,London,"",E9 7PH,LowRiseBlock
5 April Street,Hackney,London,"",E8 2EF,Block
1-30 Athlone Close,Hackney,London,"",E5 8HD,WalkUpBlock
Graham Road (211.213) DELETE? Graham Road,Hackney,London,"",E8 1BS,Block
29-34 Feldman Close,Hackney,London,"",N16 6QG,WalkUpBlock
82-160 EVEN Rowley Gardens,Hackney,London,"",N4 1HL,HighRiseBlock
2-6 EVEN Malpas Road,Hackney,London,"",E8 1NA,WalkUpBlock
1-16 Valley House  Harrington Hill,Hackney,London,"",E5 9HA,HighRiseBlock
Lansdowne Drive (33-43 Odd) DELETE? Fields Estate,Lansdowne Drive,Hackney,London,E8 3HJ,Block
1-15 Garnham Close,Smalley Road Estate,Hackney,London,N16 7LF,WalkUpBlock
270 Amhurst Road,Hackney,London,"",N16 7UP,WalkUpBlock
63-83 Queen Elizabeths Close,Hackney,London,"",N16 0HP,HighRiseBlock
47 Linthorpe Road,Hackney,London,"",N16 5QT,WalkUpBlock
27-32 Rivington Walk,Hackney,London,"",E8 4JT,WalkUpBlock
9-16 Sandford Court  Bethune Road,Hackney,LONDON,"",N16 5BB,WalkUpBlock
1-20 Baycliffe House  Anderson Road,Hackney,London,"",E9 6HN,LowRiseBlock
13 *Delete* Rushmore Road,Hackney,LONDON,"",E5 0ET,WalkUpBlock
17-22 Foxley Close,Hackney,London,"",E8 2JN,WalkUpBlock
18 Reighton Road,Hackney,London,"",E5 8SG,WalkUpBlock
19-36 Banister House  Homerton High Street,Hackney,London,"",E9 6BH,LowRiseBlock
10-12 Magnin Close,Hackney,London,"",E8 4LF,WalkUpBlock
FLAT 41 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
56 Leswin Road,Hackney,London,"",N16 7NH,WalkUpBlock
FLAT 32 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
173-180 Crondall Court  St Johns Estate,Hackney,London,"",N1 6JN,WalkUpBlock
21-64 Laburnum Court  Laburnum Street,Hackney,LONDON,"",E2 8BH,HighRiseBlock
175-186 Fellows Court  Weymouth Terrace,Hackney,LONDON,"",E2 8LQ,WalkUpBlock
48 Newick Road,Hackney,London,"",E5 0RR,WalkUpBlock
1-14 Godwin House  Thurtle Road,Hackney,LONDON,"",E2 8PH,HighRiseBlock
187-202 Lea View House  Springfield,Hackney,LONDON,"",E5 9EA,LowRiseBlock
1-32 Hilborough Court  Livermere Road,Hackney,London,"",E8 4LG,WalkUpBlock
1-93 Pitcairn House  St Thomass Square,Hackney,London,"",E9 6PT,HighRiseBlock
1-16 Sycamore House  Lordship Grove,Hackney,London,"",N16 0QD,WalkUpBlock
FLAT 46 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
64-83 Summit Estate,Portland Avenue,Hackney,London,N16 6EX,LowRiseBlock
1-8 Ickburgh Estate  Ickburgh Estate,Upper Clapton Road,Hackney,London,E5 8AE,WalkUpBlock
158-170 EVEN & 182-194 EVEN Wick Road,Hackney,London,"",E9 5AN,WalkUpBlock
1-44 Crondall Court  St Johns Estate,Hackney,LONDON,"",N1 6JJ,HighRiseBlock
4-7 Stephan Close,Hackney,London,"",E8 4LJ,WalkUpBlock
56 Benthal Road,Hackney,London,"",N16 7DA,WalkUpBlock
134 Lansdowne Drive,Hackney,London,"",E8 4NF,WalkUpBlock
FLAT 31 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
1-36 Lemsford Court  Brownswood Road,Hackney,London,"",N4 2XN,HighRiseBlock
1-7 ODD Mary Seacole Close,Hackney,London,"",E8 4TA,WalkUpBlock
Orient Way (4-10) DELETE? Orient Way,Hackney,LONDON,"",E5 0DJ,Block
Edwins Mead (1-4) DELETE? Edwins Mead,Hackney,London,"",E9 5PY,Block
56 Sydner Road,Hackney,London,"",N16 7UG,WalkUpBlock
1-12 Athelstan House  Londesborough Road,Hackney,London,"",N16 8RW,WalkUpBlock
10-16 EVEN Forest Grove,Hackney,London,"",E8 3HX,WalkUpBlock
1-16 Lucan House  *Demolished* Colville Estate,Hackney,London,"",N1 5ND,WalkUpBlock
30-33 Somerford Grove Estate,Hackney,London,"",N16 7TL,WalkUpBlock
17-24 Moreton Close,Hackney,London,"",E5 9EP,WalkUpBlock
2 Chestnut Close Plus 29-31 Odd Lordship Road  Lordship Road,Hackney,London,"",N16 0QH,WalkUpBlock
13-21 Harleston Close,Hackney,London,"",E5 9NH,WalkUpBlock
68 *Delete* Benthal Road,Hackney,London,"",N16 7DA,WalkUpBlock
17-28 Vince Court  Charles Square Estate,Hackney,London,"",N1 6EA,WalkUpBlock
123-191 ODD Manor Road,Hackney,London,"",N16 5PB,WalkUpBlock
9-20 Ickburgh Estate  Ickburgh Estate,Upper Clapton Road,Hackney,London,E5 8AE,WalkUpBlock
53 Shrubland Road,Hackney,London,"",E8 4NL,WalkUpBlock
27-29 Odd Swinnerton Street Plus 40-46 Even Mabley Street  Mabley Street,Hackney,London,"",E9 5RL,WalkUpBlock
1-14 Patten House  Green Lanes,Hackney,London,"",N4 2NY,HighRiseBlock
A-C 376 Green Lanes,Hackney,London,"",N4 1DA,WalkUpBlock
14 Penshurst Road,Hackney,London,"",E9 7DX,WalkUpBlock
133-140 The Beckers  Rectory Road,Hackney,London,"",N16 7QT,WalkUpBlock
FLAT 2 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
67 Bethune Road,Hackney,London,"",N16 5EE,WalkUpBlock
1-31 Longford Court  Pedro Street,Hackney,LONDON,"",E5 0BG,LowRiseBlock
Halidon Close (1-24) DELETE? Halidon Close,Hackney,London,"",E9 6EE,Block
FLAT 40 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
272 Queensbridge Road,Hackney,London,"",E8 3NH,WalkUpBlock
Clonbrock Road (27.39.43.45) DELETE? Clonbrock Road,Hackney,London,"",N16 8RS,Block
62-68 Even Montague Road Plus 18-32 Even Wayland Avenue  Wayland Avenue,Hackney,London,"",E8 2HP,WalkUpBlock
Gilwell Arrowe Brownsea Courts  Clarence Road,Hackney,London,"",E5 8EF,Block
99 Osbaldeston Road,Hackney,London,"",N16 6NP,WalkUpBlock
FLAT 42 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
19-30 Shaftesbury Street,Hackney,London,"",N1 7HR,WalkUpBlock
1-8 Sycamore House  Lordship Grove,Hackney,London,"",N16 0QD,WalkUpBlock
8 April Street,Hackney,London,"",E8 2EF,Block
25-30 Athlone Close,Hackney,London,"",E5 8HD,WalkUpBlock
8-10 Stephan Close,Hackney,London,"",E8 4LJ,Block
15-17 Stephan Close,Hackney,London,"",E8 4LJ,WalkUpBlock
49-64 Nicholl House *Demolished* Woodberry Down Estate,Hackney,London,"",N4 2TQ,HighRiseBlock
1-6 Athelstan House  Londesborough Road,Hackney,London,"",N16 8RW,WalkUpBlock
144-149 Fawcett Estate  Fawcett Estate,Clapton Common,Hackney,London,E5 9DQ,WalkUpBlock
109-124 Royal Oak Court  Pitfield Street,Hackney,London,"",N1 6ES,WalkUpBlock
34 Portland Avenue,Hackney,London,"",N16 6ET,WalkUpBlock
21-65 St Johns Court  Queens Drive,Hackney,London,"",N4 2HL,LowRiseBlock
63-73 Odd Pownall Road,Hackney,London,"",E8 4JY,Block
1-8 Kinder House  Cranston Estate,Hackney,London,"",N1 5EJ,WalkUpBlock
43-54 Wenlock Court  New North Road,Hackney,London,"",N1 7QS,WalkUpBlock
19 April Street,Hackney,London,"",E8 2EF,Block
73 Geldeston Road,Hackney,London,"",E5 8SD,WalkUpBlock
Carlisle Walk (8-15) DELETE? Carlisle Walk,Hackney,London,"",E8 3SX,Block
47-58 Fields Estate  Fields Estate,Lansdowne Drive,Hackney,London,E8 4LS,WalkUpBlock
25-42 Ickburgh Estate  Ickburgh Estate,Upper Clapton Road,Hackney,London,E5 8AE,WalkUpBlock
FLAT 42 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
58-66 Mapledene Estate  Mapledene Estate,Mapledene Road,Hackney,London,E8 3LN,WalkUpBlock
Wayland Avenue (18-32 Even) DELETE? Wayland Avenue,Hackney,London,"",E8 2HP,WalkUpBlock
1-7 Park Court 204 Lordship Road,Hackney,London,"",N16 5EU,WalkUpBlock
1-12 Warwick House  Portland Rise,Hackney,London,"",N4 2PY,WalkUpBlock
1-56 Therfield Court  Brownswood Road,Hackney,London,"",N4 2XL,HighRiseBlock
39 Gunton Road,Hackney,London,"",E5 9JT,WalkUpBlock
1-35 Follingham Court  Drysdale Place,Hackney,London,"",N1 6LZ,LowRiseBlock
Clift House 41-63  Lucan Path Colville Estate,Hackney,London,"",N1 5FL,Block
1-24 Chindit House  Burma Road,Hackney,London,"",N16 9EB,HighRiseBlock
1-11 ODD Brownlow Road,Hackney,London,"",E8 4NS,WalkUpBlock
Bletsoe Walk (5-15) DELETE? Bletsoe Walk,Hackney,London,"",N1 7HZ,Block
101-120 Crondall Court  St Johns Estate,Hackney,LONDON,"",N1 6JJ,WalkUpBlock
Flat A-B 57 Glyn Road,Hackney,LONDON,"",E5 0JB,WalkUpBlock
5 St Marks Rise,Hackney,London,"",E8 2NJ,WalkUpBlock
48 Benthal Road,Hackney,London,"",N16 7DA,WalkUpBlock
