aline1,aline2,aline3,aline4,post_code,asset_type
25-42 Mayfield Close,Hackney,London,"",E8 3DA,WalkUpBlock
19-30 Thornbury Close,Hackney,London,"",N16 8UX,WalkUpBlock
Paston Close (21-24) DELETE? Paston Close,Hackney,LONDON,"",E5 0BU,WalkUpBlock
1-24 Cropley Court  Cropley Street,Hackney,London,"",N1 7PB,WalkUpBlock
1-16 Belmont Court  Leatherhead Close,Hackney,London,"",N16 5QD,WalkUpBlock
1-11 Middleton House  Middleton Road,Hackney,London,"",E8 4LW,WalkUpBlock
FLAT 23 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
26-35  Beeston Close,Hackney,London,"",E8 2HG,WalkUpBlock
1-40 Ravenscroft Point 40 Kenton Road,Hackney,London,"",E9 5BA,HighRiseBlock
FLAT 26 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
272-291 Nisbet House  Homerton High Street,Hackney,LONDON,"",E9 6AR,LowRiseBlock
1-3 Evans Close Plus 2-12 Even Buttermere Walk  Buttermere Walk,Hackney,London,"",E8 3TA,WalkUpBlock
60 Pellerin Road,Hackney,London,"",N16 8AT,WalkUpBlock
13-30 Lister Court  Yoakley Road,Hackney,London,"",N16 0BE,WalkUpBlock
25-36 Alford Court  Shepherdess Walk,Hackney,London,"",N1 7JW,WalkUpBlock
23-24 *Delmolished* Burtley Close,Hackney,London,"",N4 2NS,WalkUpBlock
70 Benthal Road,Hackney,London,"",N16 7DA,WalkUpBlock
139-153 ODD Manor Road,Hackney,London,"",N16 5PB,WalkUpBlock
1-8 Winckworth Court  Charles Square Estate,Hackney,London,"",N1 6HR,WalkUpBlock
95-99 ODD Lenthall Road,Hackney,London,"",E8 3JN,WalkUpBlock
15-23 Cressington Close,Hackney,London,"",N16 8AN,WalkUpBlock
18 19 22 Moye Close,Hackney,LONDON,"",E2 8QN,WalkUpBlock
46-52 Forest Road,Hackney,London,"",E8 3BL,Block
18-34 DELETE? Geffrye Estate,Hackney,London,"",N1 6RX,LowRiseBlock
Edwins Mead (5-15) DELETE? Edwins Mead,Hackney,London,"",E9 5PY,Block
38-56 EVEN Ballance Road,Hackney,London,"",E9 5SR,WalkUpBlock
75 Benthal Road,Hackney,London,"",N16 7AP,WalkUpBlock
109-144 Banister House  Homerton High Street,Hackney,London,"",E9 6BJ,LowRiseBlock
20 Seal Street,Hackney,London,"",E8 2EE,WalkUpBlock
13 Cranwich Road,Hackney,London,"",N16 5HZ,WalkUpBlock
158 Middleton Road,Hackney,London,"",E8 4LP,WalkUpBlock
1-55 Lemsford Court *Demolished*  Brownswood Road,Hackney,London,"",N4 2XN,HighRiseBlock
1-111 (odd)  Broke Walk,Hackney,London,"",E8 4SH,Block
23 *Delete* Thornby Road,Hackney,London,"",E5 9QL,WalkUpBlock
FLAT 48 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
137-156 Bracklyn Court  Wimbourne Street,Hackney,London,"",N1 7EJ,WalkUpBlock
1-22 Elmbridge Walk,Blackstone Estate,Hackney,London,E8 3HA,WalkUpBlock
FLAT 4 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
2 Linthorpe Road,Hackney,London,"",N16 5RF,WalkUpBlock
Glyn Road (180-188 Even) DELETE? Glyn Road,Hackney,LONDON,"",E5 0JT,Block
1-12 Webb Estate  Webb Estate,Clapton Common,Hackney,London,E5 9BB,WalkUpBlock
FLAT 28 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
56-63  Summit House Portland Avenue,Hackney,London,"",N16 6HA,WalkUpBlock
31-54 Wenlock Court  New North Road,Hackney,London,"",N1 7PL,WalkUpBlock
37-42 Alford Court  Shepherdess Walk,Hackney,London,"",N1 7JW,WalkUpBlock
20 Newick Road,Hackney,London,"",E5 0RR,WalkUpBlock
1-40 Cannock House  Woodberry Down Estate,Hackney,London,"",N4 1QX,LowRiseBlock
73-84 Webb Estate  Webb Estate,Clapton Common,Hackney,London,E5 9BD,WalkUpBlock
Kemeys Street (3.13) DELETE? Kemeys Street,Hackney,London,"",E9 5RQ,Block
34-44 Even Shannon Court  Dynevor Road,Hackney,London,"",N16 0DD,WalkUpBlock
38-52 Lea View House  Springfield,Hackney,London,"",E5 9DX,LowRiseBlock
Block 185-193 odd  Kyverdale Road,Hackney,London,"",N16 6PQ,Block
16-21 Charles Burton Court  Ashenden Road,Hackney,LONDON,"",E5 0DU,WalkUpBlock
1-46 Hill House  Harrington Hill,Hackney,London,"",E5 9EX,LowRiseBlock
8-10 Sotheran Close,Hackney,London,"",E8 4LH,Block
167-197 ODD Lordship Road,Hackney,London,"",N16 5HF,WalkUpBlock
Pemberton Place (1-7 Con) DELETE? Pemberton Place,Hackney,London,"",E8 3RF,Block
128-152 Geffrye Court  Geffrye Estate,Hackney,London,"",N1 6RT,WalkUpBlock
Queensbridge Road Estate 355 Queensbridge Road,Hackney,London,"",E8 3JD,HighRiseBlock
23-28 Brooklime House  Shepherds Lane,Hackney,London,"",E9 6FR,MediumRiseBlock
7-12 Lister Court  Yoakley Road,Hackney,London,"",N16 0BE,WalkUpBlock
6 Seal Street,Hackney,London,"",E8 2EE,WalkUpBlock
91-137 ODD Geffrye Street,Hackney,LONDON,"",E2 8JA,WalkUpBlock
29-40 Micawber Court  Windsor Terrace,Hackney,London,"",N1 7TG,WalkUpBlock
127-144 Banister House  Homerton High Street,Hackney,London,"",E9 6BN,LowRiseBlock
Bletsoe Walk (1-4) DELETE? Bletsoe Walk,Hackney,London,"",N1 7HZ,Block
37-42 Wilton Estate  Wilton Estate,Greenwood Road,Hackney,London,E8 1BD,WalkUpBlock
1-15 Charles Burton Court  Ashenden Road,Hackney,LONDON,"",E5 0DU,WalkUpBlock
53 Northfield Road,Hackney,London,"",N16 5RL,WalkUpBlock
34-43 Fawcett Estate  Fawcett Estate,Clapton Common,Hackney,London,E5 9DG,LowRiseBlock
1-29 Balmoral House  Portland Rise,Hackney,London,"",N4 2QB,HighRiseBlock
3-6 and 8-9 Great Eastern Buildings  Reading Lane,Hackney,London,"",E8 1FR,Block
41-60 Sylvester House  Sylvester Road,Hackney,London,"",E8 1ET,WalkUpBlock
16-21 Beecholme Estate  Beecholme Estate,Prout Road,Hackney,London,E5 9NR,WalkUpBlock
FLAT 20 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
1-4 *DEMOLISHED* 8A Woodberry Down,Hackney,London,"",N4 2TG,WalkUpBlock
1-25 Lonsdale House  Woodberry Down Estate,Hackney,London,"",N4 2TP,LowRiseBlock
243-257 odd Kyverdale Road,Hackney,London,"",N16 6PQ,Block
93 Forburg Road,Hackney,London,"",N16 6HR,WalkUpBlock
1-9 Avro Court 92 Mabley Street,Hackney,London,"",E9 5RZ,WalkUpBlock
21-40 Sylvester House  Sylvester Road,Hackney,London,"",E8 1ES,WalkUpBlock
47 Median Road,Hackney,London,"",E5 0PJ,WalkUpBlock
2 Moulins Road,Hackney,London,"",E9 7EL,WalkUpBlock
13-15 ODD *Demolished* Springpark Drive,Hackney,London,"",N4 2NR,WalkUpBlock
19-42 Buxton Court  Thoresby Street,Hackney,London,"",N1 7TL,HighRiseBlock
17 Sanford Terrace,Hackney,London,"",N16 7LH,WalkUpBlock
212 Queensbridge Road,Hackney,London,"",E8 3NB,WalkUpBlock
56 Well Street,Hackney,London,"",E9 7PX,WalkUpBlock
13-18 Inglethorpe House 51 Geldeston Road,Hackney,London,"",E5 8RW,WalkUpBlock
10-18 Millard Close,Hackney,London,"",N16 8UU,WalkUpBlock
9-15 ODD Benthal Road,Hackney,London,"",N16 7AT,WalkUpBlock
111-135 Wrens Park House  Warwick Grove,Hackney,London,"",E5 9LW,LowRiseBlock
164-192 EVEN Green Lanes,Hackney,London,"",N4 2EY,WalkUpBlock
Denton Way (4-6) DELETE? Denton Way,Hackney,LONDON,"",E5 0BY,WalkUpBlock
1-19 Middleton House  Middleton Road,Hackney,London,"",E8 4LW,WalkUpBlock
83-129 ODD Chardmore Road,Hackney,London,"",N16 6JB,WalkUpBlock
28-60 Joseph Court  Amhurst Park,Hackney,London,"",N16 5AJ,HighRiseBlock
53-64 Lea View House  Springfield,Hackney,London,"",E5 9DY,LowRiseBlock
1-11 Regan Way,Hackney,London,"",N1 6PH,WalkUpBlock
327 Amhurst Road,Hackney,London,"",N16 7UX,WalkUpBlock
1-56 Granville Court  De Beauvoir Estate,Hackney,London,"",N1 5SP,HighRiseBlock
19 Leabourne Road,Hackney,London,"",N16 6SU,WalkUpBlock
13-17 ODD Albion Grove,Hackney,LONDON,"",N16 8RE,WalkUpBlock
20-39 Nisbet House  Homerton High Street,Hackney,London,"",E9 6AJ,LowRiseBlock
25-35 ODD Albion Grove,Hackney,LONDON,"",N16 8RE,WalkUpBlock
FLAT 26 HORNBEAM APARTMENTS  Hornbeam Apartments,Seven Sisters Road,London,"",N4 1JU,Block
1-8 Sandford Court  Bethune Road,Hackney,LONDON,"",N16 5BB,WalkUpBlock
17-21 ODD Wilde Close,Hackney,London,"",E8 4JS,WalkUpBlock
61-78 Sylvia Court  Cavendish Street,Hackney,London,"",N1 7PG,WalkUpBlock
17-56 Malcolm House  Arden Estate,Hackney,London,"",N1 6PN,LowRiseBlock
192-216 Wrens Park House  Warwick Grove,Hackney,London,"",E5 9LR,LowRiseBlock
152 Holmleigh Road,Hackney,London,"",N16 5PY,WalkUpBlock
1-30 Dunloe Court  Dawson Street,Hackney,LONDON,"",E2 8JT,WalkUpBlock
66-74 Marcon Court  Amhurst Road,Hackney,London,"",E8 1LW,WalkUpBlock
2-16 EVEN Maury Road,Hackney,London,"",N16 7BB,WalkUpBlock
56-70 Wrens Park House  Warwick Grove,Hackney,London,"",E5 9LN,LowRiseBlock
37-72 Royal Oak Court  Pitfield Street,Hackney,London,"",N1 6EN,LowRiseBlock
1-16 Farnham Court  Hindhead Close,Hackney,London,"",N16 5QF,WalkUpBlock
27 Navarino Road,Hackney,London,"",E8 1AD,WalkUpBlock
FLAT 26 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
1-8 Browning House  Shakespear Walk,Hackney,London,"",N16 8TL,LowRiseBlock
1-12 Fletcher House  Milton Gardens Estate,Hackney,London,"",N16 8TP,WalkUpBlock
36-38 Walsham Close,Hackney,London,"",N16 6QF,WalkUpBlock
FLAT 4 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
1-47 Marcon Court  Amhurst Road,Hackney,London,"",E8 1LN,HighRiseBlock
73 Allen Road,Hackney,London,"",N16 8RY,WalkUpBlock
85-91 ODD Elderfield Road,Hackney,LONDON,"",E5 0LE,WalkUpBlock
2-8 Even Aitken Close,Hackney,London,"",E8 4SQ,Block
FLAT 63 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
153-177 Geffrye Court  Geffrye Estate,Hackney,London,"",N1 6RT,WalkUpBlock
26-32 EVEN Adley Street,Hackney,LONDON,"",E5 0DY,WalkUpBlock
38 Durlston Road,Hackney,London,"",E5 8RR,WalkUpBlock
6-14 Cressington Close,Hackney,London,"",N16 8AN,WalkUpBlock
1-25 Delamere House  Woodberry Down Estate,Hackney,London,"",N4 2RR,LowRiseBlock
1-20 Wilkinson House  Cranston Estate,Hackney,London,"",N1 6TH,LowRiseBlock
1-23 ODD Benthal Road,Hackney,London,"",N16 7AT,WalkUpBlock
91 Osbaldeston Road,Hackney,London,"",N16 6NP,WalkUpBlock
41-51 ODD Spenser Grove,Hackney,London,"",N16 8UA,WalkUpBlock
1-25 Juliet House  Arden Estate,Hackney,London,"",N1 6PL,LowRiseBlock
91 Prince George Road,Hackney,London,"",N16 8DL,WalkUpBlock
35 Knightland Road,Hackney,London,"",E5 9HR,WalkUpBlock
107-116 Fields Estate  Fields Estate,Lansdowne Drive,Hackney,London,E8 4LS,WalkUpBlock
1-7 Sotheran Close  Sotheran Close,Hackney,London,"",E8 4LH,Block
Brett Close (1-6) DELETE? Brett Close,Hackney,London,"",N16 0BN,Block
Victorian Grove (71-81 Odd) DELETE? Victorian Grove,Hackney,London,"",N16 8EY,Block
1-39 Celia House  Arden Estate,Hackney,London,"",N1 6RB,LowRiseBlock
55-57 Castlewood Road  Castlewood Road,Hackney,London,"",N16 6DJ,Block
50-53 Somerford Grove Estate,Hackney,London,"",N16 7TJ,WalkUpBlock
FLAT 45 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
1-9 ODD Pear Tree Close,Hackney,LONDON,"",E2 8BU,Block
FLAT 33 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
1-2 & 5-7 & 10-12 & 15-18 Beech House  Lordship Road,Hackney,London,"",N16 0PU,LowRiseBlock
1-16 Musgrove House  Hassett Road,Hackney,London,"",E9 5SP,WalkUpBlock
D 1-6; 49-60; 103-114; 157-162 Rogate House 8 Muir Road,Hackney,London,"",E5 8QR,HighRiseBlock
1-12 Bianca House  Arden Estate,Hackney,London,"",N1 6PS,WalkUpBlock
5-16 Oswalds Mead,Hackney,London,"",E9 5PZ,WalkUpBlock
101-110 Anderson Road,Hackney,London,"",E9 6HJ,LowRiseBlock
177 Amhurst Road,Hackney,London,"",E8 2AW,WalkUpBlock
304 Queensbridge Road,Hackney,London,"",E8 3NH,WalkUpBlock
153-162 Parkside Estate  Parkside Estate,Rutland Road,Hackney,London,E9 7LB,WalkUpBlock
93 Stoke Newington Church Street,Hackney,London,"",N16 0AS,WalkUpBlock
Pendas Mead (1-4) DELETE? Pendas Mead,Lindisfarne Way,Hackney,London,E9 5PX,Block
2 Ashwin Street,Hackney,London,"",E8 3DL,WalkUpBlock
FLAT 17 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
44-54 EVEN Hows Street,Hackney,LONDON,"",E2 8EH,WalkUpBlock
1-60 Burtt House  Aske Street,Hackney,London,"",N1 6LE,HighRiseBlock
9-14 Pond Farm Estate,Hackney,LONDON,"",E5 0AA,WalkUpBlock
39-45 ODD Daubeney Road,Hackney,LONDON,"",E5 0EE,WalkUpBlock
4-7 Sotheran Close,Hackney,London,"",E8 4LH,WalkUpBlock
61-90 Orwell Court  Pownall Road,Hackney,London,"",E8 4PS,LowRiseBlock
1-35 ODD Hows Street,Hackney,LONDON,"",E2 8EE,WalkUpBlock
286-310 Banister House  Homerton High Street,Hackney,London,"",E9 6BS,LowRiseBlock
146 Millfields Road,Hackney,London,"",E5 0AD,WalkUpBlock
52-57 Mapledene Estate  Mapledene Estate,Mapledene Road,Hackney,London,E8 3LN,WalkUpBlock
1-12 Deepdene House  Manor Road,Hackney,London,"",N16 5NS,WalkUpBlock
11-20 Quested Court  Brett Road,Hackney,London,"",E8 1JS,WalkUpBlock
53 Barretts Grove,Hackney,London,"",N16 8AP,WalkUpBlock
1-15 Odd Lyneham Walk Plus 7-10 Crofton Terrace  Crofton Terrace,Hackney,LONDON,"",E5 0EL,Block
70-75 Wilton Estate  Wilton Estate,Greenwood Road,Hackney,London,E8 1BD,WalkUpBlock
FLAT 30 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
1-5  Blakeney Close,Hackney,London,"",E8 2HQ,WalkUpBlock
FLAT 12 HORNBEAM APARTMENTS  Hornbeam Apartments,Seven Sisters Road,London,"",N4 1JU,Block
38-59 Shacklewell House  Shacklewell Lane,Hackney,London,"",E8 2EQ,LowRiseBlock
48 Northwold Road,Hackney,London,"",E5 8RN,WalkUpBlock
89-91 ODD Elderfield Road,Hackney,LONDON,"",E5 0LE,WalkUpBlock
140-159 Nisbet House  Homerton High Street,Hackney,London,"",E9 6AW,LowRiseBlock
12 Chestnut Close Plus 9-10 Juniper Court 1 Grazebrook Road,Hackney,London,"",N16 0HZ,WalkUpBlock
FLAT 50 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
Bowness Close (1-2) DELETE? Bowness Close,Hackney,London,"",E8 3SU,WalkUpBlock
11-28 College Close,Hackney,London,"",E9 6ER,WalkUpBlock
Poulton Close (1-7) DELETE? Poulton Close,Hackney,London,"",E8 1NB,Block
FLAT 14 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
1-18 Whitelock House  Cassland Road,Hackney,London,"",E9 5BL,WalkUpBlock
15 Filey Avenue,Hackney,London,"",N16 6JL,WalkUpBlock
23-34 Watson Close,Hackney,London,"",N16 8QG,WalkUpBlock
29-52 Nye Bevan Estate,Hackney,LONDON,"",E5 0AG,WalkUpBlock
31-66 Lister Court  Yoakley Road,Hackney,London,"",N16 0BE,HighRiseBlock
7-12 Crofts House  Teale Street,Hackney,LONDON,"",E2 8RB,WalkUpBlock
1-8 Touchard House  Chart Street,Hackney,London,"",N1 6DB,WalkUpBlock
20 Jeger Avenue,Hackney,LONDON,"",E2 8BX,Block
270 Dalston Lane,Hackney,London,"",E8 1JG,WalkUpBlock
12 Seal Street,Hackney,London,"",E8 2EE,WalkUpBlock
Evans Close (6-15) DELETE? Evans Close,Hackney,London,"",E8 3TD,Block
9-11 Odd Theydon Road Plus 19-22 Lowestoft Close  Lowestoft Close,Hackney,London,"",E5 9NQ,WalkUpBlock
Morpeth Grove (1-3) DELETE? Morpeth Grove,Hackney,London,"",E9 7LE,Block
FLAT 21 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
"31-50 Petherton House *Demolished"" Woodberry Down Estate",Hackney,London,"",N4 2NN,LowRiseBlock
236-260 Banister House  Homerton High Street,Hackney,London,"",E9 6BP,LowRiseBlock
8 Ashwin Street,Hackney,London,"",E8 3DL,WalkUpBlock
FLAT 43 HORNBEAM APARTMENTS  Hornbeam Apartments,Seven Sisters Road,London,"",N4 1JU,Block
4 Moundfield Road,Hackney,London,"",N16 6DT,WalkUpBlock
5-17 Azalea Court  Alexandra Mews,Hackney,London,"",N4 2LB,MediumRiseBlock
25-31 ODD Forest Grove,Hackney,London,"",E8 3HX,WalkUpBlock
11-13 Rivington Walk,Hackney,London,"",E8 4JT,Block
13 Chestnut Close Plus 11-12 Juniper Court 1 Grazebrook Road,Hackney,London,"",N16 0HZ,WalkUpBlock
20-22 EVEN Albion Grove,Hackney,London,"",N16 8RG,WalkUpBlock
36 Darville Road,Hackney,London,"",N16 7PS,WalkUpBlock
FLAT 36 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
1-10 Badminton Court  Woodberry Grove,Hackney,London,"",N4 1SH,WalkUpBlock
100 Brooke Road,Hackney,London,"",N16 7RT,WalkUpBlock
48-142 (Even) Fletching Road,Hackney,London,"",E5 9QR,Block
46-56 Even Shannon Court  Dynevor Road,Hackney,London,"",N16 0DD,WalkUpBlock
2 SCRIMGOEUR PLACE,HACKNEY,LONDON,"",N4 2QF,Block
Kimpton Ct 1-49 Plus 12 Casbeard St 2 Murrain Road,Hackney,London,"",N4 2BN,Block
FLAT 5 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
5-8 Mayfield Close,Hackney,London,"",E8 3DA,WalkUpBlock
25-44 Heatherley Court  Evering Road,Hackney,London,"",N16 7SN,WalkUpBlock
28-36 Chatsworth Estate  Chatsworth Estate,Elderfield Road,Hackney,LONDON,E5 0BA,WalkUpBlock
Caldecott Way (63-65 Odd) DELETE? Caldecott Way,Hackney,LONDON,"",E5 0DB,Block
131-135 ODD Ravensdale Road,Hackney,London,"",N16 6TH,WalkUpBlock
1-27 ODD Overbury Street,Hackney,LONDON,"",E5 0AN,WalkUpBlock
9-12 Moreton Close,Hackney,London,"",E5 9EP,WalkUpBlock
Waterloo Close (7-18) DELETE? Waterloo Close,Hackney,London,"",E9 6EF,WalkUpBlock
FLAT 27 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
FLAT 51 HORNBEAM APARTMENTS  Hornbeam Apartments,Seven Sisters Road,London,"",N4 1JU,Block
63-68 Parkside Estate  Parkside Estate,Rutland Road,Hackney,London,E9 7JY,WalkUpBlock
1-40 April Court  Teale Street,Hackney,LONDON,"",E2 9AA,LowRiseBlock
1-12 Dorchester Court  Englefield Road,Hackney,London,"",N1 4SB,WalkUpBlock
11 Sanford Terrace,Hackney,London,"",N16 7LH,WalkUpBlock
1-3 Osborn Close,Hackney,London,"",E8 4JZ,WalkUpBlock
11-17 Kirkland Walk,Hackney,London,"",E8 3SY,Block
Barbauld Road (3-9 Odd) DELETE? Barbauld Road,Hackney,London,"",N16 0SD,WalkUpBlock
Featherfew Court 15-28  Shepherds Lane,Hackney,LONDON,"",E9 6FY,MediumRiseBlock
Welford Close (1-6) DELETE? Welford Close,Hackney,LONDON,"",E5 0DL,WalkUpBlock
79-122 Kingsgate Estate  Kingsgate Estate,Tottenham Road,Hackney,London,N1 4DD,HighRiseBlock
31-74 Wimbourne Court  Wimbourne Street,Hackney,London,"",N1 7HD,HighRiseBlock
6 Mountgrove Road,Hackney,London,"",N5 2LS,WalkUpBlock
10 Chestnut Close Plus 5-6 Juniper Court 1 Grazebrook Road,Hackney,London,"",N16 0HZ,WalkUpBlock
17-30 Approach Close,Hackney,London,"",N16 8UG,WalkUpBlock
81-124 Lea View House  Springfield,Hackney,London,"",E5 9DY,LowRiseBlock
72 *DELETE* Colvestone Crescent,Hackney,London,"",E8 2LJ,WalkUpBlock
7-9 Millard Close Plus 11-16 Lydford Close  Lydford Close,Hackney,London,"",N16 8UT,WalkUpBlock
100 Carysfort Road,Hackney,London,"",N16 9AP,WalkUpBlock
64 *Delete* Dunsmure Road,Hackney,London,"",N16 5PR,WalkUpBlock
49-53 ODD Mundford Road,Hackney,London,"",E5 9PP,WalkUpBlock
76-81 Somerford Grove Estate,Hackney,London,"",N16 7TN,WalkUpBlock
1-7 Osborn Close plus 75-79 ODD Marlborough Avenue  Marlborough Avenue,Hackney,London,"",E8 4JP,Block
Church Crescent (24.25.28) DELETE? Church Crescent,Hackney,London,"",E9 7DH,Block
60-82 EVEN Narford Road,Hackney,London,"",E5 8RD,WalkUpBlock
1-10 Chadworth House  Green Lanes,Hackney,London,"",N4 2PB,LowRiseBlock
FLAT 59 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
Clift House 83-86  Jordan Path Colville Estate,Hackney,London,"",N1 5FP,Block
10-20 EVEN Caldecott Way,Hackney,LONDON,"",E5 0DA,WalkUpBlock
336-360 Banister House  Homerton High Street,Hackney,London,"",E9 6BT,LowRiseBlock
11 Springfield,Hackney,London,"",E5 9EE,HighRiseBlock
38-49 Keir Hardie Estate  Keir Hardie Estate,Springfield,Hackney,LONDON,E5 9AT,WalkUpBlock
34 Oldhill Street,Hackney,London,"",N16 6LB,WalkUpBlock
1-15 ODD Daley Street,Hackney,London,"",E9 6HP,WalkUpBlock
121-132 Queensbridge Court  Queensbridge Road,Hackney,LONDON,"",E2 8PA,LowRiseBlock
4-6 Walsham Close,Hackney,London,"",N16 6QF,WalkUpBlock
1-12 Miranda House  Arden Estate,Hackney,London,"",N1 6PR,WalkUpBlock
Oswald Street (6-26 Even) DELETE? Oswald Street,Hackney,London,"",E5 0BT,Block
41-82 Shaftesbury Court  Shaftesbury Street,Hackney,London,"",N1 7HN,HighRiseBlock
84-93 Fawcett Estate  Fawcett Estate,Clapton Common,Hackney,London,E5 9AX,LowRiseBlock
18 & 22 & 24 Sewdley Street,Hackney,LONDON,"",E5 0AX,Block
93-97 ODD Brougham Road,Hackney,London,"",E8 4PB,WalkUpBlock
21-25 ODD Jeger Avenue,Hackney,LONDON,"",E2 8BX,Block
184 Albion Road,Hackney,London,"",N16 9JR,WalkUpBlock
FLAT 41 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
1-12 Daniell House  Cranston Estate,Hackney,London,"",N1 5EH,LowRiseBlock
Radbourne Close (1-7) DELETE? Radbourne Close,Hackney,London,"",E5 0TB,Block
7-10 & 23-24 Foxley Close,Hackney,London,"",E8 2JN,WalkUpBlock
13-24 Lea View House  Springfield,Hackney,London,"",E5 9DX,LowRiseBlock
1-42 Ilkeston Court 4 Overbury Street,Hackney,London,"",E5 0TF,LowRiseBlock
Skelton Close (3-9) DELETE? Skelton Close,Hackney,London,"",E8 3TJ,Block
Wilton Way (73-77 Odd) DELETE? Wilton Way,Hackney,London,"",E8 3ED,Block
51 Mildenhall Road,Hackney,London,"",E5 0RT,WalkUpBlock
100-142 EVEN Mount Pleasant Lane,Hackney,London,"",E5 9JG,WalkUpBlock
51 Shrubland Road,Hackney,London,"",E8 4NL,WalkUpBlock
Kings Crescent Block DZ2  Casbeard Street,Hackney,London,"",N4 2GD,Block
20 Colberg Place,Hackney,London,"",N16 5RB,WalkUpBlock
90 Lansdowne Drive,Hackney,London,"",E8 3ER,WalkUpBlock
Windsor Wharf (1-28 Con) DELETE? Windsor Wharf,Hackney,London,"",E9 5NY,Block
1-30 Weybridge House  Woodberry Down Estate,Hackney,London,"",N4 1QJ,LowRiseBlock
1-25 York Row Estate Community Hall  Whiston Road,Hackney,LONDON,"",E2 8SB,LowRiseBlock
1-7 Odd Wilde Close,Hackney,London,"",E8 4JS,Block
2-6 EVEN Wilde Close,Hackney,London,"",E8 4JS,WalkUpBlock
1-10 Dryden House  Harcombe Road,Hackney,London,"",N16 0SB,WalkUpBlock
1-16 Jonson House  Milton Grove,Hackney,London,"",N16 8PH,WalkUpBlock
Lyneham Walk (46-62 Even) DELETE? Lyneham Walk,Hackney,LONDON,"",E5 0HX,Block
21 Leabourne Road,Hackney,London,"",N16 6SU,WalkUpBlock
34-39 Beecholme Estate  Beecholme Estate,Prout Road,Hackney,London,E5 9NR,WalkUpBlock
3 SCRIMGOEUR PLACE,HACKNEY,LONDON,"",N4 2QF,Block
1-30 Vivian House  Seven Sisters Road,Hackney,London,"",N4 1QZ,WalkUpBlock
121-149 ODD *DEMOLISHED* Woodberry Grove,Hackney,London,"",N4 2SB,WalkUpBlock
64 Benthal Road,Hackney,London,"",N16 7DA,WalkUpBlock
(92-100  Even)  Richmond Road,Hackney,London,"",E8 3HW,WalkUpBlock
FLAT 23 HORNBEAM APARTMENTS  Hornbeam Apartments,Seven Sisters Road,London,"",N4 1JU,Block
1-6 Leigh House  Amhurst Road,Hackney,London,"",N16 7UW,WalkUpBlock
FLAT 42 HORNBEAM APARTMENTS  Hornbeam Apartments,Seven Sisters Road,London,"",N4 1JU,Block
Caldecott Way (67-85 Odd) DELETE? Caldecott Way,Hackney,LONDON,"",E5 0DB,Block
29-31 Vince Court  Charles Square Estate,Hackney,London,"",N1 6EA,WalkUpBlock
18-24 Kirkland Walk,Hackney,London,"",E8 3SY,Block
81-95 ODD Cecilia Road,Hackney,London,"",E8 2ES,WalkUpBlock
25 Thornby Road,Hackney,London,"",E5 9QL,WalkUpBlock
33-41 Pond Farm Estate,Hackney,LONDON,"",E5 0AA,WalkUpBlock
FLAT 64 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
FLAT 41 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
41-52 St Leonards Court *Demolished* New North Road,Hackney,LONDON,"",N1 6JA,WalkUpBlock
1-2 Southmoor Way,Hackney,London,"",E9 5NL,Block
117-126 Fields Estate  Fields Estate,Lansdowne Drive,Hackney,London,E8 4LS,WalkUpBlock
